,x,y,z
0,0.0,0.0,0.0
1,0.0,-3.9000000000000106,-0.1
2,1.0,-3.9000000000000106,-0.1
3,2.0,-3.9000000000000106,-0.3
4,3.0,-3.9000000000000106,-0.5
5,4.0,-3.9000000000000106,-1.1
6,4.9,-3.9000000000000106,-1.9
7,-1.0,-3.9000000000000106,-0.2
8,-2.0,-3.9000000000000106,-0.4
9,-3.0,-3.9000000000000106,-0.8999999999999999
10,-4.0,-3.9000000000000106,-1.7000000000000002
11,-4.2,-3.9000000000000106,-2.1
12,0.0,-4.90000000000001,-0.3
13,1.0,-4.90000000000001,-0.4
14,2.0,-4.90000000000001,-0.5
15,3.0,-4.90000000000001,-0.8999999999999999
16,4.0,-4.90000000000001,-1.6
17,4.3,-4.90000000000001,-1.7999999999999998
18,-1.0,-4.90000000000001,-0.4
19,-2.0,-4.90000000000001,-0.7000000000000001
20,-3.0,-4.90000000000001,-1.3
21,-4.0,-4.90000000000001,-2.1
22,-4.2,-4.90000000000001,-2.6
23,0.0,-5.900000000000009,-0.5
24,1.0,-5.900000000000009,-0.5
25,2.0,-5.900000000000009,-0.8
26,3.1,-5.699999999999999,-1.3
27,3.8,-5.699999999999999,-1.7999999999999998
28,-1.0,-5.900000000000009,-0.6
29,-2.0,-5.900000000000009,-1.0
30,-3.0,-5.900000000000009,-1.7000000000000002
31,-3.5,-5.900000000000009,-2.4
32,0.0,-6.900000000000011,-0.8
33,1.0,-6.900000000000011,-0.8999999999999999
34,2.0,-6.800000000000001,-1.0
35,3.0,-6.6000000000000005,-1.4000000000000001
36,3.5999999999999996,-6.5,-1.7999999999999998
37,-1.0,-6.900000000000011,-0.8999999999999999
38,-2.0,-6.800000000000001,-1.2
39,-3.0,-6.800000000000001,-2.1
40,0.0,-2.90000000000001,0.1
41,1.0,-2.90000000000001,0.1
42,2.0,-2.90000000000001,0.0
43,3.0,-2.90000000000001,-0.4
44,4.0,-2.90000000000001,-1.0
45,4.699999999999999,-2.90000000000001,-1.5
46,-1.0,-2.90000000000001,0.1
47,-2.0,-2.90000000000001,-0.2
48,-3.0,-2.90000000000001,-0.7000000000000001
49,-4.0,-2.90000000000001,-1.4000000000000001
50,-4.3,-2.90000000000001,-1.7999999999999998
51,0.0,-1.9000000000000101,0.2
52,1.0,-1.9000000000000101,0.2
53,2.0,-1.9000000000000101,0.0
54,3.0,-1.9000000000000101,-0.3
55,4.0,-1.9000000000000101,-0.8
56,4.8,-1.9000000000000101,-1.4000000000000001
57,-1.0,-1.9000000000000101,0.1
58,-2.0,-1.9000000000000101,-0.1
59,-3.0,-1.9000000000000101,-0.5
60,-4.0,-1.9000000000000101,-1.2
61,-4.2,-1.9000000000000101,-1.6
62,0.0,-0.9000000000000098,0.0
63,1.0,-0.9000000000000098,0.1
64,2.0,-0.9000000000000098,0.0
65,3.0,-0.9000000000000098,-0.3
66,4.0,-0.9000000000000098,-1.0
67,4.8,-0.9000000000000098,-1.3
68,-1.0,-0.9000000000000098,0.0
69,-2.0,-0.9000000000000098,-0.2
70,-3.0,-0.9000000000000098,-0.7000000000000001
71,-4.0,-0.9000000000000098,-1.3
72,-4.1,-0.9000000000000098,-1.4000000000000001
73,0.0,0.09999999999998999,-0.1
74,1.0,0.09999999999998999,0.0
75,2.0,0.09999999999998999,-0.2
76,3.0,0.09999999999998999,-0.5
77,4.2,0.09999999999998999,-1.1
78,-1.0,0.09999999999998999,-0.1
79,-2.0,0.09999999999998999,-0.3
80,-3.0,0.09999999999998999,-0.8
81,-3.9000000000000004,0.09999999999998999,-1.4000000000000001
82,0.0,1.09999999999999,0.0
83,1.0,1.09999999999999,-0.1
84,2.0,1.09999999999999,-0.3
85,3.0,1.09999999999999,-0.6
86,4.0,1.09999999999999,-1.2
87,-1.0,1.09999999999999,-0.1
88,-2.0,1.09999999999999,-0.4
89,-3.0,1.09999999999999,-0.8
90,-3.5,1.09999999999999,-1.2
91,0.0,2.09999999999999,0.1
92,1.0,2.09999999999999,0.0
93,2.0,2.09999999999999,-0.2
94,3.0,2.09999999999999,-0.8
95,3.5,2.09999999999999,-0.8999999999999999
96,-1.0,2.09999999999999,-0.2
97,-2.0,2.09999999999999,-0.5
98,-3.0,2.09999999999999,-0.8999999999999999
99,-3.1,2.09999999999999,-1.0
100,0.0,3.0999999999999894,-0.1
101,1.0,3.0999999999999894,-0.1
102,2.0,3.0999999999999894,-0.4
103,3.1,3.0999999999999894,-0.8
104,-1.0,3.0999999999999894,-0.3
105,-2.0,3.0999999999999894,-0.5
106,-2.6,3.0999999999999894,-0.8
107,0.0,4.09999999999999,-0.3
108,1.0,4.09999999999999,-0.3
109,2.0,4.09999999999999,-0.6
110,2.6,4.09999999999999,-0.7000000000000001
111,-1.0,4.09999999999999,-0.4
112,-2.0,4.09999999999999,-0.6
113,-2.2,4.09999999999999,-0.8
114,0.0,5.09999999999999,-0.5
115,1.0,5.09999999999999,-0.5
116,2.1,5.09999999999999,-0.7000000000000001
117,-1.0,5.09999999999999,-0.5
118,-1.7000000000000002,5.09999999999999,-0.8
119,0.0,6.09999999999999,-0.8
120,1.0,6.09999999999999,-0.8
121,2.0,6.09999999999999,-0.8999999999999999
